ID_VIV,ID_HOG,UPM,VIV_SEL,HOGAR,RESUL_H,N_INF,R_SEL,CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,TOT_PER,FAC_HOG,FAC_HOG_AM,DOMINIO,EST_DIS,UPM_DIS
1300114.04,1300114.04.01,1300114,4,1,A,2,4,13,HIDALGO,48,PACHUCA DE SOTO,5,140,140,U,224,5640
1300114.05,1300114.05.01,1300114,5,1,B,1,1,13,HIDALGO,48,PACHUCA DE SOTO,1,140,140,U,224,5640
1300117.03,1300117.03.01,1300117,3,1,B,1,1,13,HIDALGO,48,PACHUCA DE SOTO,2,226,226,U,223,5641
1300117.04,1300117.04.01,1300117,4,1,B,1,1,13,HIDALGO,48,PACHUCA DE SOTO,2,226,226,U,223,5641
1300117.05,1300117.05.01,1300117,5,1,A,2,2,13,HIDALGO,48,PACHUCA DE SOTO,2,226,226,U,223,5641
1300145.01,1300145.01.01,1300145,1,1,B,1,1,13,HIDALGO,48,PACHUCA DE SOTO,1,510,510,U,225,5642
1300145.02,1300145.02.01,1300145,2,1,A,1,1,13,HIDALGO,48,PACHUCA DE SOTO,1,510,510,U,225,5642
1300145.03,1300145.03.01,1300145,3,1,A,1,1,13,HIDALGO,48,PACHUCA DE SOTO,2,510,510,U,225,5642
1300316.04,1300316.04.01,1300316,4,1,A,2,2,13,HIDALGO,48,PACHUCA DE SOTO,5,302,302,U,223,5652
1300316.05,1300316.05.01,1300316,5,1,B,3,1,13,HIDALGO,48,PACHUCA DE SOTO,3,302,302,U,223,5652
1300324.02,1300324.02.01,1300324,2,1,A,1,2,13,HIDALGO,48,PACHUCA DE SOTO,3,239,239,U,223,5653
1300324.03,1300324.03.01,1300324,3,1,B,1,2,13,HIDALGO,48,PACHUCA DE SOTO,3,239,239,U,223,5653
1300324.05,1300324.05.01,1300324,5,1,A,1,2,13,HIDALGO,48,PACHUCA DE SOTO,4,239,239,U,223,5653
1300349.01,1300349.01.01,1300349,1,1,A,2,2,13,HIDALGO,48,PACHUCA DE SOTO,2,313,313,U,223,5654
1300349.02,1300349.02.01,1300349,2,1,B,1,1,13,HIDALGO,48,PACHUCA DE SOTO,2,313,313,U,223,5654
1300349.03,1300349.03.01,1300349,3,1,B,1,1,13,HIDALGO,48,PACHUCA DE SOTO,1,313,313,U,223,5654
1300349.04,1300349.04.01,1300349,4,1,B,2,1,13,HIDALGO,48,PACHUCA DE SOTO,3,313,313,U,223,5654
1300349.05,1300349.05.01,1300349,5,1,B,1,2,13,HIDALGO,48,PACHUCA DE SOTO,2,313,313,U,223,5654
1300365.01,1300365.01.01,1300365,1,1,B,1,1,13,HIDALGO,48,PACHUCA DE SOTO,2,313,313,U,223,5655
1300365.02,1300365.02.01,1300365,2,1,B,1,1,13,HIDALGO,48,PACHUCA DE SOTO,1,313,313,U,223,5655
1300178.05,1300178.05.01,1300178,5,1,B,1,2,13,HIDALGO,48,PACHUCA DE SOTO,2,305,305,U,223,5645
1300209.01,1300209.01.01,1300209,1,1,B,2,1,13,HIDALGO,48,PACHUCA DE SOTO,2,280,280,U,223,5646
1300209.03,1300209.03.01,1300209,3,1,B,1,2,13,HIDALGO,48,PACHUCA DE SOTO,3,280,280,U,223,5646
1300209.04,1300209.04.01,1300209,4,1,B,1,1,13,HIDALGO,48,PACHUCA DE SOTO,3,280,280,U,223,5646
1300219.01,1300219.01.01,1300219,1,1,A,1,1,13,HIDALGO,48,PACHUCA DE SOTO,1,232,232,U,223,5647
1300219.02,1300219.02.01,1300219,2,1,B,2,2,13,HIDALGO,48,PACHUCA DE SOTO,2,232,232,U,223,5647
1300219.03,1300219.03.01,1300219,3,1,B,1,1,13,HIDALGO,48,PACHUCA DE SOTO,1,232,232,U,223,5647
1300219.05,1300219.05.01,1300219,5,1,A,1,2,13,HIDALGO,48,PACHUCA DE SOTO,3,232,232,U,223,5647
1300275.01,1300275.01.01,1300275,1,1,B,1,1,13,HIDALGO,48,PACHUCA DE SOTO,1,229,229,U,224,5648
1300275.02,1300275.02.01,1300275,2,1,B,1,1,13,HIDALGO,48,PACHUCA DE SOTO,1,229,229,U,224,5648
1300275.03,1300275.03.01,1300275,3,1,B,1,1,13,HIDALGO,48,PACHUCA DE SOTO,5,229,229,U,224,5648
1300275.04,1300275.04.01,1300275,4,1,B,2,1,13,HIDALGO,48,PACHUCA DE SOTO,2,229,229,U,224,5648
1300275.05,1300275.05.01,1300275,5,1,B,1,1,13,HIDALGO,48,PACHUCA DE SOTO,4,229,229,U,224,5648
1300277.01,1300277.01.01,1300277,1,1,B,1,1,13,HIDALGO,48,PACHUCA DE SOTO,6,317,317,U,224,5649
1300277.02,1300277.02.01,1300277,2,1,B,1,2,13,HIDALGO,48,PACHUCA DE SOTO,3,317,317,U,224,5649
1300277.03,1300277.03.01,1300277,3,1,B,2,3,13,HIDALGO,48,PACHUCA DE SOTO,4,317,317,U,224,5649
1300277.04,1300277.04.01,1300277,4,1,A,2,4,13,HIDALGO,48,PACHUCA DE SOTO,4,317,317,U,224,5649
1300277.05,1300277.05.01,1300277,5,1,A,2,1,13,HIDALGO,48,PACHUCA DE SOTO,4,317,317,U,224,5649
1300298.01,1300298.01.01,1300298,1,1,B,1,3,13,HIDALGO,48,PACHUCA DE SOTO,3,240,240,U,224,5650
1300298.03,1300298.03.01,1300298,3,1,B,1,3,13,HIDALGO,48,PACHUCA DE SOTO,5,240,240,U,224,5650
1300298.05,1300298.05.01,1300298,5,1,B,1,1,13,HIDALGO,48,PACHUCA DE SOTO,2,240,240,U,224,5650
1300308.01,1300308.01.01,1300308,1,1,A,2,1,13,HIDALGO,48,PACHUCA DE SOTO,4,289,289,U,224,5651
